"","Age","State","Posts","Views","Duration","Authors","AuthorExperience","DeletedPosts","Forum","AuthorBanned"
"204",1593,"open",5,494,2,4,2224,0,"Speculation","not banned"
"205",1380,"open",1,658,0,3,72,0,"Homework","not banned"
"206",2013,"open",4,1426,143,6,1988,0,"Medicine","not banned"
"207",4117,"open",2,809,2,3,24,0,"Science","not banned"
"208",1997,"open",1,1089,1,2,0,0,"Science","not banned"
"209",2636,"open",1,403,1,2,25,0,"Discussion","not banned"
"210",552,"open",6,353,2,8,3461,0,"Discussion","not banned"
"211",410,"open",19,2157,1,6,23,0,"Math","banned"
"212",924,"closed",0,191,0,2,68,0,"Discussion","banned"
"213",87,"open",20,800,17,5,0,0,"Science","not banned"
"214",2517,"open",19,988,92,13,1,0,"Discussion","not banned"
"215",1417,"open",2,2724,2,2,0,0,"Math","not banned"
"216",1333,"open",9,2307,307,10,0,0,"Science","not banned"
"217",120,"open",6,399,1,3,886,0,"Misc","not banned"
"218",2088,"open",3,1057,3,7,682,2,"Science","not banned"
"219",2807,"open",2,426,0,2,0,0,"Homework","not banned"
"220",1824,"open",6,574,1,7,0,0,"Science","not banned"
"221",2492,"open",13,2604,6,8,0,0,"Science","not banned"
"222",3144,"open",6,337,0,7,143,0,"Discussion","not banned"
"223",2454,"closed",1,547,0,3,0,0,"Science","not banned"
"224",4536,"open",0,673,21,2,13,0,"Discussion","not banned"
"225",2539,"open",7,830,3,4,98,0,"Science","not banned"
"226",2730,"open",2,3186,47,3,0,0,"Science","not banned"
"227",1282,"open",554,22290,1268,70,1216,7,"Science","not banned"
"228",34,"open",1,125,1,2,0,0,"Science","not banned"
"229",2458,"open",6,1923,2,7,1543,1,"Misc","not banned"
"230",3405,"open",2,610,33,4,303,0,"Medicine","not banned"
"231",3946,"open",17,2167,6,8,145,0,"Science","not banned"
"232",3944,"open",7,9224,240,8,170,0,"Science","not banned"
"233",66,"open",2,136,1,4,0,0,"Homework","not banned"
"234",463,"open",0,212,1,2,209,0,"Homework","not banned"
"235",1277,"open",9,1761,1,7,2245,0,"Math","not banned"
"236",3683,"open",0,599,0,1,25,0,"Math","not banned"
"237",1447,"open",3,362,2,3,56,0,"Science","banned"
"238",1539,"open",0,514,0,1,28,0,"Homework","not banned"
"239",2680,"open",3,704,2,5,191,0,"Science","not banned"
"240",1237,"open",21,1852,21,8,405,0,"Science","not banned"
"241",3831,"open",6,980,41,5,330,0,"Science","not banned"
"242",1890,"open",3,2104,12,4,0,0,"Misc","not banned"
"243",3540,"open",7,990,0,6,625,0,"Science","not banned"
"244",3664,"open",4,810,18,4,140,0,"Science","not banned"
"245",2897,"open",13,869,7,4,15,0,"Medicine","not banned"
"246",607,"open",3,276,1,5,60,0,"Science","not banned"
"247",297,"open",0,420,0,2,289,0,"Misc","not banned"
"248",3913,"open",3,453,1,4,627,0,"Discussion","not banned"
"249",3150,"open",2,556,0,3,0,0,"Science","not banned"
"250",3501,"open",17,757,2,11,168,0,"Discussion","not banned"
"251",114,"open",1,343,3,3,0,0,"Math","not banned"
"252",176,"open",34,726,16,6,26,0,"Speculation","not banned"
"253",4200,"open",16,1266,4,8,349,0,"Speculation","not banned"
"254",268,"open",5,492,21,7,0,0,"Science","not banned"
"255",1049,"open",2,1805,4,2,3,0,"Misc","not banned"
"256",3042,"open",15,936,1,6,576,0,"Speculation","not banned"
"257",3455,"open",2,553,0,2,473,0,"Science","not banned"
"258",1278,"open",70,7962,840,27,63,0,"Science","not banned"
"259",3751,"open",9,860,7,8,53,0,"Science","not banned"
"260",1551,"open",0,538,3,2,1148,0,"Science","banned"
"261",2099,"open",7,658,34,4,1762,1,"Science","not banned"
"262",2558,"open",5,7543,10,5,0,1,"Misc","not banned"
"263",1367,"open",3,993,0,4,0,0,"Science","not banned"
"264",3946,"open",25,1917,11,12,2,0,"Science","not banned"
"265",2972,"open",18,1190,2,16,734,0,"Discussion","not banned"
"266",1636,"open",1,398,1,2,19,0,"Science","not banned"
"267",1840,"open",28,5123,789,11,169,0,"Science","not banned"
"268",2078,"open",0,276,0,2,3,0,"Discussion","not banned"
"269",3251,"open",0,535,21,2,519,0,"Science","not banned"
"270",2889,"open",0,317,0,2,1165,0,"Discussion","not banned"
"271",1136,"open",20,1327,598,15,609,0,"Speculation","not banned"
"272",854,"open",14,1177,66,5,1517,0,"Misc","not banned"
"273",2919,"open",8,738,30,9,569,0,"Medicine","not banned"
"274",1200,"open",10,1246,43,6,8,0,"Science","not banned"
"275",1557,"open",15,2435,61,5,547,0,"Science","not banned"
"276",2308,"open",0,636,0,2,438,0,"Misc","not banned"
"277",2402,"open",1,428,1,2,0,0,"Science","not banned"
"278",3410,"open",9,652,13,7,500,0,"Science","not banned"
"279",3051,"open",1,394,0,2,556,0,"Discussion","not banned"
"280",835,"open",0,294,0,2,59,0,"Homework","not banned"
"281",3196,"open",1,1199,2,2,371,0,"Math","not banned"
"282",3868,"open",17,1984,25,11,580,0,"Science","not banned"
"283",471,"open",22,955,19,9,73,0,"Science","banned"
"284",3416,"open",23,4527,12,11,7,0,"Medicine","not banned"
"285",2651,"open",6,693,3,5,231,1,"Science","not banned"
"286",649,"open",17,467,5,7,268,0,"Speculation","banned"
"287",3049,"open",16,442,2,9,495,0,"Discussion","not banned"
"288",666,"closed",4,328,0,4,0,0,"Homework","not banned"
"289",2711,"open",2,672,1,3,450,0,"Science","not banned"
"290",2371,"open",8,603,2,4,511,0,"Science","not banned"
"291",1984,"open",16,10293,261,12,83,1,"Science","not banned"
"292",3503,"open",8,1057,32,9,220,0,"Math","banned"
"293",2219,"open",2,135,15,3,111,0,"Misc","not banned"
"294",1103,"open",38,2003,17,29,129,2,"Discussion","not banned"
"295",3523,"open",0,401,0,2,16,0,"Homework","not banned"
"296",3452,"open",10,971,39,5,264,0,"Math","not banned"
"297",2024,"open",11,729,1,7,0,0,"Speculation","not banned"
"298",2342,"open",1,3330,1,4,1687,2,"Misc","not banned"
"299",3163,"open",14,6109,10,9,0,0,"Math","not banned"
"300",426,"open",1,226,0,3,84,0,"Misc","not banned"
"301",2905,"open",0,424,0,2,109,0,"Discussion","not banned"
"302",2487,"open",19,589,3,8,1501,0,"Discussion","not banned"
"303",1048,"closed",12,10202,72,8,0,0,"Science","not banned"
"304",2931,"open",25,1988,35,14,266,0,"Homework","not banned"
"305",1008,"closed",4,1000,0,4,120,0,"Science","not banned"
"306",2212,"open",4,571,0,3,670,0,"Homework","not banned"
"307",3702,"open",18,10905,3065,6,148,0,"Math","not banned"
"308",1886,"open",3,358,1,4,1658,0,"Discussion","not banned"
"309",1285,"open",0,841,22,2,0,0,"Science","not banned"
"310",3209,"open",4,904,0,4,189,0,"Misc","not banned"
"311",349,"open",0,530,0,2,1148,0,"Misc","not banned"
"312",3078,"open",3,764,2,2,43,0,"Science","not banned"
"313",3719,"open",0,518,0,1,43,0,"Science","not banned"
"314",3797,"open",3,700,0,5,554,0,"Science","not banned"
"315",143,"open",16,8103,3,5,829,0,"Science","not banned"
"316",1777,"open",2,631,2,2,0,0,"Science","not banned"
"317",2585,"open",1,379,0,3,307,0,"Science","not banned"
"318",1578,"open",0,2913,3,2,0,0,"Science","not banned"
"319",3078,"open",7,892,5,9,472,0,"Science","not banned"
"320",132,"open",9,388,3,6,44,0,"Math","banned"
"321",3285,"open",1,473,0,2,576,0,"Science","not banned"
"322",91,"open",8,348,33,7,1197,0,"Science","not banned"
"323",1795,"open",10,2585,9,5,5,0,"Science","not banned"
"324",333,"open",5,487,2,3,0,0,"Science","not banned"
"325",741,"open",3,353,5,2,3076,0,"Discussion","not banned"
"326",2089,"open",2,280,0,3,1362,0,"Speculation","not banned"
"327",830,"open",0,259,0,3,1668,1,"Discussion","not banned"
"328",207,"open",1,229,0,2,1081,0,"Science","not banned"
"329",2079,"open",0,3504,3,2,0,0,"Misc","not banned"
"330",424,"open",2,515,22,3,0,0,"Medicine","not banned"
"331",2060,"open",14,699,15,6,461,0,"Discussion","not banned"
"332",265,"open",3,215,2,4,0,0,"Science","not banned"
"333",1567,"open",9,704,2,8,21,0,"Speculation","not banned"
"334",1003,"open",2,418,1,3,0,0,"Homework","not banned"
"335",2455,"open",7,510,1,4,1226,0,"Discussion","not banned"
"336",4288,"open",5,1148,36,4,261,0,"Discussion","not banned"
"337",840,"open",0,333,5,2,7,0,"Science","not banned"
"338",3536,"open",6,623,1,4,73,0,"Science","not banned"
"339",3600,"open",1,1533,0,4,1,3,"Science","not banned"
"340",3034,"open",3,2109,2,4,848,0,"Science","not banned"
"341",823,"open",2,518,0,4,111,0,"Math","not banned"
"342",904,"open",21,2009,69,14,689,1,"Medicine","not banned"
"343",236,"open",5,320,0,4,0,0,"Science","banned"
"344",3375,"open",0,479,0,2,20,0,"Science","not banned"
"345",783,"open",1,364,11,3,1,0,"Science","not banned"
"346",2245,"open",48,2747,18,27,799,0,"Discussion","not banned"
"347",3264,"open",1,832,0,3,156,0,"Discussion","not banned"
"348",1455,"open",10,965,5,5,0,0,"Science","not banned"
"349",3573,"open",15,803,1,8,117,0,"Discussion","not banned"
"350",2807,"open",24,1439,11,8,0,0,"Math","not banned"
"351",340,"open",21,670,25,3,126,0,"Math","not banned"
"352",2276,"open",5,2373,1,5,1585,0,"Science","not banned"
"353",3108,"open",1,1042,59,3,2,0,"Discussion","not banned"
"354",1715,"open",5,934,1,7,2286,1,"Misc","not banned"
"355",895,"open",15,723,7,10,77,0,"Science","not banned"
"356",3786,"open",12,1336,14,11,477,0,"Science","not banned"
"357",648,"open",1,331,0,3,10,0,"Science","not banned"
"358",478,"open",4,4902,5,2,0,0,"Homework","not banned"
"359",2973,"open",11,75,1,8,1177,0,"Misc","not banned"
"360",170,"open",1,243,1,3,0,0,"Medicine","not banned"
"361",3450,"open",14,931,2,12,570,0,"Speculation","not banned"
"362",1860,"open",3,409,0,2,211,0,"Homework","not banned"
"363",4350,"open",3,590,2,3,200,0,"Discussion","not banned"
"364",2095,"open",59,2375,37,23,33,0,"Speculation","not banned"
"365",4112,"open",0,692,1,2,46,0,"Speculation","banned"
"366",1163,"open",0,4037,0,2,511,0,"Science","not banned"
"367",2185,"open",6,16814,86,4,787,0,"Science","not banned"
"368",1257,"open",51,7090,521,17,1241,0,"Discussion","not banned"
"369",1359,"open",1,1099,2,3,0,0,"Homework","not banned"
"370",2371,"open",0,406,0,2,480,0,"Science","banned"
"371",2460,"open",18,1826,27,9,15,0,"Misc","not banned"
"372",3343,"open",11,849,2,9,875,1,"Science","not banned"
"373",1404,"open",3,712,13,5,104,0,"Discussion","not banned"
"374",4342,"open",23,2299,1,8,207,0,"Medicine","not banned"
"375",2004,"open",6,1020,69,5,100,1,"Science","not banned"
"376",1198,"closed",25,2366,25,4,156,0,"Speculation","not banned"
"377",2266,"open",3,294,10,5,6,4,"Misc","banned"
"378",2787,"open",6,349,1,5,1762,0,"Discussion","not banned"
"379",803,"open",3,464,2,2,1301,0,"Science","not banned"
"380",3282,"open",0,490,1,2,0,0,"Math","not banned"
"381",3690,"open",24,1628,9,12,18,0,"Misc","not banned"
"382",1302,"open",3,1105,0,3,1074,0,"Math","not banned"
"383",2675,"open",3,626,580,5,0,0,"Homework","not banned"
"384",3127,"open",3,1233,0,3,902,0,"Science","not banned"
"385",889,"open",1,346,3,3,0,0,"Speculation","not banned"
"386",205,"closed",6,316,0,6,5,0,"Discussion","not banned"
"387",3374,"open",0,789,0,2,0,0,"Math","not banned"
"388",1837,"open",8,1456,37,7,1,2,"Science","not banned"
"389",1573,"open",2,805,137,4,0,0,"Medicine","not banned"
"390",3460,"open",25,2146,77,17,20,0,"Math","not banned"
"391",981,"open",16,1769,2,7,65,0,"Science","not banned"
"392",475,"open",3,412,13,3,3538,0,"Science","not banned"
"393",2055,"open",4,3091,0,3,30,0,"Misc","not banned"
"394",1605,"open",6,726,1,6,40,0,"Discussion","not banned"
"395",493,"open",4,337,0,4,901,0,"Science","not banned"
"396",2262,"open",4,525,0,4,56,0,"Science","not banned"
"397",604,"open",1,489,2,4,0,1,"Science","not banned"
"398",3548,"open",0,420,0,2,202,0,"Discussion","not banned"
"399",2464,"open",67,2991,17,10,0,0,"Speculation","not banned"
"400",2772,"open",7,501,1,8,1,0,"Speculation","not banned"
"401",3081,"open",14,937,3,11,0,0,"Medicine","not banned"
"402",3871,"open",53,2486,4,11,177,0,"Science","not banned"
"403",940,"open",2,441,8,3,1438,0,"Speculation","banned"
"404",2330,"open",3,435,4,4,1531,0,"Science","not banned"
"405",3439,"open",1,463,4,2,283,0,"Discussion","not banned"
"406",3136,"open",5,652,1,4,0,0,"Math","not banned"
"407",3274,"open",2,458,0,3,632,0,"Science","not banned"
"408",3722,"open",41,2776,153,13,23,0,"Science","not banned"
"409",1013,"open",7,510,12,3,2,0,"Discussion","not banned"
"410",2500,"open",7,589,1,5,198,0,"Science","not banned"
"411",665,"open",2,488,4,2,0,0,"Science","not banned"
"412",1430,"closed",6,839,0,8,0,0,"Speculation","not banned"
"413",1504,"open",3,1101,0,6,374,1,"Misc","not banned"
"414",4069,"open",0,643,0,2,97,0,"Science","not banned"
"415",3100,"open",0,679,104,2,225,0,"Medicine","not banned"
"416",3211,"open",14,472,3,7,513,0,"Discussion","not banned"
"417",231,"open",1,1610,0,2,0,0,"Homework","not banned"
"418",2665,"open",1,472,1,2,687,0,"Science","not banned"
"419",1571,"open",1,1224,10,3,0,0,"Science","not banned"
"420",1442,"open",5,1077,4,5,43,0,"Medicine","not banned"
"421",835,"open",1,355,10,3,1,0,"Science","not banned"
"422",2416,"open",18,1141,3,5,5,0,"Science","banned"
"423",1464,"open",8,897,27,6,0,0,"Science","not banned"
"424",689,"open",1,366,56,3,0,0,"Science","not banned"
"425",344,"open",20,472,3,6,2027,0,"Discussion","not banned"
"426",787,"open",3,1052,6,3,0,1,"Science","not banned"
"427",3741,"open",8,1327,1,6,260,0,"Medicine","not banned"
"428",3724,"open",7,2101,651,9,38,0,"Medicine","not banned"
"429",995,"closed",210,7925,43,22,0,1,"Science","not banned"
"430",138,"open",14,321,12,6,64,0,"Science","not banned"
"431",1366,"open",8,984,4,6,303,0,"Discussion","banned"
"432",2236,"open",7,17786,1,3,5,0,"Homework","not banned"
"433",1583,"open",5,751,9,2,123,0,"Science","not banned"
"434",2389,"open",2,325,0,3,428,0,"Science","not banned"
"435",670,"open",1,231,0,2,827,0,"Speculation","not banned"
"436",1491,"open",2,538,1,4,0,0,"Misc","not banned"
"437",1537,"open",2,1423,11,4,34,0,"Science","not banned"
"438",2157,"closed",2,292,1,4,108,0,"Discussion","not banned"
"439",1442,"open",20,1643,7,11,2,0,"Speculation","banned"
"440",2690,"open",15,683,4,10,0,0,"Science","not banned"
"441",2488,"open",4,874,1,3,284,0,"Science","not banned"
"442",1449,"open",2,301,0,2,428,0,"Homework","not banned"
"443",2170,"open",6,599,17,6,0,0,"Science","not banned"
"444",562,"open",3,363,50,5,147,0,"Misc","not banned"
"445",927,"open",50,2243,138,15,2890,0,"Discussion","not banned"
"446",3498,"open",69,2820,11,16,52,0,"Discussion","not banned"
"447",2286,"open",24,2430,93,14,0,0,"Science","not banned"
"448",1499,"open",0,667,0,2,1827,0,"Science","not banned"
"449",773,"open",2,890,177,3,0,0,"Science","not banned"
